activity,start,end
lezione,2019-09-30,2019-10-22
lauree,2019-10-23,2019-10-23
lezione,2019-10-24,2019-10-31
vacanze,2019-11-01,2019-11-01
lezioni,2019-11-02,2019-12-01
innaugurazione anno accademico,2019-12-02,2019-12-02
lezione,2019-12-03,2019-12-08
vacanza,2019-12-09,2019-12-09
lezione,2019-12-10,2019-12-16
lauree,2019-12-17,2019-12-17
lezione,2019-12-18,2019-12-22
vacanza,2019-12-23,2020-01-06
lezione,2020-01-07,2020-01-20
esami,2020-01-21,2020-02-25
lauree,2020-02-26,2020-02-26
esami,2020-02-27,2020-03-01
lezioni,2020-03-02,2020-04-08
vacanza,2020-04-09,2020-04-14
lezioni,2020-04-15,2020-04-28
lauree,2020-04-29,2020-04-29
lezioni,2020-04-30,2020-04-30
vacanza,2020-05-01,2020-05-01
lezioni,2020-05-02,2020-06-01
vavanza,2020-06-02,2020-06-02
lezione,2020-06-03,2020-06-14
esami,2020-06-15,2020-07-13
lezioni,2020-07-14,2020-07-14
esami,2020-07-15,2020-07-31
vacanza,2020-08-01,2020-08-30
esami,2020-08-31,2020-09-21
lauree,2020-09-22,2020-09-22
esami,2020-09-23,2020-09-27
