course_name,alias,professor
multimedia systems and technologies,mst,marco porta
numerical methods in engineering sciences,numerical,giancarlo sangalli
numerical methods in engineering sciences,numerical,mattia tani
computer vision,cv,virginio cantoni
reti logiche e calcolatori elettronici,reti e calcolatori,virginio cantoni
reti logiche e calcolatori elettronici,reti e calcolatori,giovanni danese
fondamenti di informatica,fdi,giovanni danese
fondamenti di informatica,fdi,tullio facchinetti
robotics,robotica,tullio facchinetti
enterprise digital infrastructure,edi,maria carla calzarossa
reti di calcolatori,reti,luisa massari
human computer interaction,hci,mauro mosconi
digital content retrieval,dcr,maria grazia albanesi
organization theory and design,organization,giorgio greco
software engineering,ingegneria del software,nicolo marchesi
software engineering,ingegneria del software,simone merlini
information security,information,antonio barili
artificial intelligence,ai,marco piastra
advanced computer architecture,aca,marco ferretti
basi di dati,basi,marco ferretti
